"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"06.01.2024 02:30 - 06.01.2024 03:00","N/A","663"
"06.01.2024 03:00 - 06.01.2024 03:30","N/A","644"
"06.01.2024 03:30 - 06.01.2024 04:00","N/A","662"
"06.01.2024 04:00 - 06.01.2024 04:30","N/A","647"
"06.01.2024 04:30 - 06.01.2024 05:00","N/A","634"
"06.01.2024 05:00 - 06.01.2024 05:30","N/A","621"
"06.01.2024 05:30 - 06.01.2024 06:00","N/A","609"
"06.01.2024 06:00 - 06.01.2024 06:30","N/A","605"
"06.01.2024 06:30 - 06.01.2024 07:00","N/A","602"
"06.01.2024 07:00 - 06.01.2024 07:30","N/A","603"
"06.01.2024 07:30 - 06.01.2024 08:00","N/A","611"
"06.01.2024 08:00 - 06.01.2024 08:30","N/A","634"
"06.01.2024 08:30 - 06.01.2024 09:00","N/A","672"
"06.01.2024 09:00 - 06.01.2024 09:30","N/A","711"
"06.01.2024 09:30 - 06.01.2024 10:00","N/A","762"
"06.01.2024 10:00 - 06.01.2024 10:30","N/A","805"
"06.01.2024 10:30 - 06.01.2024 11:00","N/A","853"
"06.01.2024 11:00 - 06.01.2024 11:30","N/A","905"
"06.01.2024 11:30 - 06.01.2024 12:00","N/A","952"
"06.01.2024 12:00 - 06.01.2024 12:30","N/A","979"
"06.01.2024 12:30 - 06.01.2024 13:00","N/A","994"
"06.01.2024 13:00 - 06.01.2024 13:30","N/A","1002"
"06.01.2024 13:30 - 06.01.2024 14:00","N/A","1003"
"06.01.2024 14:00 - 06.01.2024 14:30","N/A","1005"
"06.01.2024 14:30 - 06.01.2024 15:00","N/A","1006"
"06.01.2024 15:00 - 06.01.2024 15:30","N/A","1000"
"06.01.2024 15:30 - 06.01.2024 16:00","N/A","981"
"06.01.2024 16:00 - 06.01.2024 16:30","N/A","972"
"06.01.2024 16:30 - 06.01.2024 17:00","N/A","967"
"06.01.2024 17:00 - 06.01.2024 17:30","N/A","972"
"06.01.2024 17:30 - 06.01.2024 18:00","N/A","980"
"06.01.2024 18:00 - 06.01.2024 18:30","N/A","1011"
"06.01.2024 18:30 - 06.01.2024 19:00","N/A","1075"
"06.01.2024 19:00 - 06.01.2024 19:30","N/A","1177"
"06.01.2024 19:30 - 06.01.2024 20:00","N/A","1228"
"06.01.2024 20:00 - 06.01.2024 20:30","N/A","1210"
"06.01.2024 20:30 - 06.01.2024 21:00","N/A","1168"
"06.01.2024 21:00 - 06.01.2024 21:30","N/A","1124"
"06.01.2024 21:30 - 06.01.2024 22:00","N/A","1076"
"06.01.2024 22:00 - 06.01.2024 22:30","N/A","1028"
"06.01.2024 22:30 - 06.01.2024 23:00","N/A","995"
"06.01.2024 23:00 - 06.01.2024 23:30","N/A","956"
"06.01.2024 23:30 - 07.01.2024 00:00","N/A","914"
"07.01.2024 00:00 - 07.01.2024 00:30","N/A","873"
"07.01.2024 00:30 - 07.01.2024 01:00","N/A","835"
"07.01.2024 01:00 - 07.01.2024 01:30","N/A","787"
"07.01.2024 01:30 - 07.01.2024 02:00","N/A","748"
"07.01.2024 02:00 - 07.01.2024 02:30","N/A","710"
"07.01.2024 02:30 - 07.01.2024 03:00","N/A","680"
"07.01.2024 03:00 - 07.01.2024 03:30","N/A","660"
"07.01.2024 03:30 - 07.01.2024 04:00","N/A","670"
"07.01.2024 04:00 - 07.01.2024 04:30","N/A","652"
"07.01.2024 04:30 - 07.01.2024 05:00","N/A","641"
"07.01.2024 05:00 - 07.01.2024 05:30","N/A","628"
"07.01.2024 05:30 - 07.01.2024 06:00","N/A","616"
"07.01.2024 06:00 - 07.01.2024 06:30","N/A","609"
"07.01.2024 06:30 - 07.01.2024 07:00","N/A","611"
"07.01.2024 07:00 - 07.01.2024 07:30","N/A","607"
"07.01.2024 07:30 - 07.01.2024 08:00","N/A","611"
"07.01.2024 08:00 - 07.01.2024 08:30","N/A","626"
"07.01.2024 08:30 - 07.01.2024 09:00","N/A","652"
"07.01.2024 09:00 - 07.01.2024 09:30","N/A","674"
"07.01.2024 09:30 - 07.01.2024 10:00","N/A","711"
"07.01.2024 10:00 - 07.01.2024 10:30","N/A","749"
"07.01.2024 10:30 - 07.01.2024 11:00","N/A","783"
"07.01.2024 11:00 - 07.01.2024 11:30","N/A","835"
"07.01.2024 11:30 - 07.01.2024 12:00","N/A","891"
"07.01.2024 12:00 - 07.01.2024 12:30","N/A","942"
"07.01.2024 12:30 - 07.01.2024 13:00","N/A","973"
"07.01.2024 13:00 - 07.01.2024 13:30","N/A","996"
"07.01.2024 13:30 - 07.01.2024 14:00","N/A","1008"
